TimeStamp;Relative Time;srcIP;dstIP;srcPort;dstPort;ipLen;len;fmt;uType;asduType;numix;cot;oa;addr
17:16:12.19;22.282799000;192.168.11.248;192.168.11.111;2404;56693;67;25;0x00000000;;36;1;3;0;65535
17:16:16.19;26.283742000;192.168.11.248;192.168.11.111;2404;56693;67;25;0x00000000;;36;1;3;0;65535
17:16:19.22;29.315131000;192.168.11.111;192.168.11.248;56693;2404;46;4;0x00000001;;;;;;
17:16:20.39;30.485713000;192.168.11.248;192.168.11.111;2404;56693;67;25;0x00000000;;36;1;3;0;65535
17:16:20.96;31.056253000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;122;1;13;0;65535
17:16:21.00;31.095510000;192.168.11.248;192.168.11.111;2404;56693;61;19;0x00000000;;120;1;13;0;65535
17:16:21.00;31.095775000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;122;1;13;0;65535
17:16:21.00;31.096102000;192.168.11.248;192.168.11.111;2404;56693;62;20;0x00000000;;121;1;13;0;65535
17:16:21.02;31.110209000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;122;1;13;0;65535
17:16:21.02;31.111001000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:21.02;31.111001000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:21.02;31.111002000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
17:16:21.02;31.111320000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:21.02;31.111320000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:21.02;31.111321000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
17:16:21.02;31.111652000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:21.02;31.111652000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:21.02;31.112008000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
17:16:21.02;31.112008000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:21.02;31.112008000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:21.02;31.112353000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
17:16:21.02;31.112592000;192.168.11.111;192.168.11.248;56693;2404;46;4;0x00000001;;;;;;
17:16:21.02;31.113312000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:21.02;31.113312000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:21.02;31.113313000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
17:16:21.02;31.113641000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
